tender_id,supplier_name,fetched_at,financial_offer,technical_result,is_awarded,award_value
1018289,شركة رواعد المحدودة,2026-08-16T02:55:44.045311+00:00,21735.0,مطابق,0,
1018289,مؤسسة بشاير سعد سافر العتيبي للتجارة,2026-08-16T02:55:44.045311+00:00,38640.0,مطابق,0,
1018289,مؤسسة سهم الثانوي للمقاولات العامة,2026-08-16T02:55:44.045311+00:00,24012.0,مطابق,0,
1018289,مؤسسة مرافئ البر,2026-08-16T02:55:44.045311+00:00,19320.0,مطابق,1,19320.0
1043180,الشركة السعوديه لمعدات الديزل المحدودة,2026-08-16T04:45:12.064837+00:00,276000.0,غير مطابق,0,
1043180,شركة أجير المحدودة,2026-08-16T04:45:12.064837+00:00,195500.0,مطابق,0,
1043180,شركة إمداد نجد للتجارة والمقاولات والتعهدات التجارية شركة شخص واحد,2026-08-16T04:45:12.064837+00:00,436494.0,مطابق,0,
1043180,شركة ابراهيم الجفالي واخوانه للمعدات الفنية شخص واحد ذات مسؤلية محدودة,2026-08-16T04:45:12.064837+00:00,271400.0,مطابق,0,
1043180,شركة الجميح للمعدات المحدودة شركة شخص واحد,2026-08-16T04:45:12.064837+00:00,294400.0,مطابق,0,
1043180,شركة الخدمات الفنيه عبر البلاد العربية المحدودة,2026-08-16T04:45:12.064837+00:00,240350.0,غير مطابق,0,
1043180,شركة الخريف التجاريه شركة شخص واحد,2026-08-16T04:45:12.064837+00:00,264500.0,مطابق,0,
1043180,شركة الدعم الثابت المحدودة,2026-08-16T04:45:12.064837+00:00,299000.0,غير مطابق,0,
1043180,شركة كود للخدمات التقنية,2026-08-16T04:45:12.064837+00:00,414000.0,غير مطابق,0,
1043180,مؤسسة الحمرور التجارية,2026-08-16T04:45:12.064837+00:00,434125.0,غير مطابق,0,
1043180,مؤسسة معدات التقانه للتجارة,2026-08-16T04:45:12.064837+00:00,144900.0,مطابق,1,144900.0
1046715,شركة حمود عبدالله الصقعبي للمقاولات,2026-08-16T05:42:11.298322+00:00,652291.5,مطابق,1,652291.5
1046715,شركة روشن الذهبية للتشغيل والصيانة,2026-08-16T05:42:11.298322+00:00,496558.5,غير مطابق,0,
1046715,مؤسسة قمة المنشأة للمقاولات,2026-08-16T05:42:11.298322+00:00,813634.2,غير مطابق,0,
1046715,مؤسسة محمد فالح دايل آل سلطان للتجارة,2026-08-16T05:42:11.298322+00:00,686770.8,مطابق,0,
1046715,مؤسسة مواسم الجزيرة,2026-08-16T05:42:11.298322+00:00,770067.6,مطابق,0,
